Id,Label,timeset,lat,lng,kind of node,weight,modularity_class,indegree,outdegree,Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
https://www.instagram.com/koentakienta/,koentakienta,,,,a,1,3,2,9,11,2,0.000925,0.471541,0.124579,51.51261,0.008202,5,0.345932,0.3651,471.564226
https://www.instagram.com/fresh_base02/,fresh_base02,,,,a,1,1,4,6,10,4,0.001851,0.471541,0.13764,102.913001,0.016385,6,0.274669,0.287323,107.229822
https://www.instagram.com/gaertnerei_scharrenbach/,gaertnerei_scharrenbach,,,,a,1,1,,,,,,,,,,,,,
https://www.instagram.com/stephen.shore/,stephen.shore,,,,a,1,4,18,2,20,18,0.008329,0.471541,0.149224,151.743712,0.02416,7,0.213925,0.228479,471.079843
https://www.instagram.com/behindertsagtmannicht_film/,behindertsagtmannicht_film,,,,a,1,4,3,3,6,3,0.001388,0.471541,0.110612,0,0,5,0.2948,0.305895,11.305333
https://www.instagram.com/bensledsens/,bensledsens,,,,a,1,3,4,11,15,4,0.001851,0.471541,0.106873,144.293268,0.022974,7,0.212976,0.229405,7.400469
https://www.instagram.com/folke77/,folke77,,,,a,1,3,,,,,,,,,,,,,
https://www.instagram.com/novazembladenbosch/,novazembladenbosch,,,,a,1,3,2,18,20,2,0.000925,0.471541,0.12487,103.20793,0.016432,5,0.347379,0.368495,707.742243
https://www.instagram.com/hielscherhof/,hielscherhof,,,,a,1,1,4,5,9,4,0.001851,0.471541,0.113459,102.492396,0.016319,6,0.219937,0.232083,53.954243
https://www.instagram.com/junge.landfrauen.nf/,junge.landfrauen.nf,,,,a,1,7,,,,,,,,,,,,,
https://www.instagram.com/kaleandme/,kaleandme,,53.544656,9.976101,a,1,7,3,5,8,3,0.001388,0.471541,0.123936,48.094922,0.007658,7,0.22493,0.238425,29.074855
https://www.instagram.com/premiumcola/,premiumcola,,,,a,1,7,4,7,11,4,0.001851,0.471541,0.145606,51.513355,0.008202,6,0.278926,0.293588,229.742926
https://www.instagram.com/brittroelse/,brittroelse,,51.446223,5.523191,a,1,3,2,25,27,2,0.000925,0.471541,0.124482,92.526865,0.014732,6,0.269192,0.289444,616.444708
https://www.instagram.com/decarbonize_oeko/,decarbonize_oeko,,,,a,1,7,2,7,9,2,0.000925,0.471541,0.140785,51.513355,0.008202,5,0.31409,0.340656,72.387612
https://www.instagram.com/hofgutwandlbeck/,hofgutwandlbeck,,48.870385,11.462176,a,1,7,2,1,3,2,0.000925,0.471541,0.124773,51.218168,0.008155,7,0.203582,0.214117,0
https://www.instagram.com/mysleepingkarmaofficial/,mysleepingkarmaofficial,,,,a,1,0,5,3,8,5,0.002314,0.471541,0.127963,51.513609,0.008202,7,0.225023,0.234662,105.580599
