Id,Label,timeset,lat,lng,kind of node,cityquartier,weight,modularity_class,indegree,outdegree,Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,componentnumber,strongcompnum
https://www.instagram.com/altemu.impulswerk/,altemu.impulswerk,,54.327046,10.14197,a,,1,4,13,14,27,13,0.007238,0.694878,0.246716,828,0.029586,5,0.358607,0.385358,1802.249016,13,14,27,0,464
https://www.instagram.com/csdmuenster/,csdmuenster,,51.959555,7.638153,a,,1,1,51,36,87,51,0.028396,0.694878,0.276181,4964,0.177374,4,0.400048,0.429422,818.031873,51,36,87,0,464
https://www.instagram.com/toogoodtogo.de/,toogoodtogo.de,,,,a,,1,1,32,23,55,32,0.017817,0.694878,0.275129,2529,0.090367,4,0.317752,0.337701,1653.954634,32,23,55,0,464
https://www.instagram.com/liba_trinken/,liba_trinken,,51.989519,7.663502,a,,1,0,242,156,398,243,0.135301,0.694878,0.322982,20165,0.720539,3,0.46965,0.50943,20715.341085,242,156,398,0,464
https://www.instagram.com/clepto1312/,clepto1312,,,,a,,1,1,8,49,57,8,0.004454,0.694878,0.24244,767,0.027407,4,0.393854,0.427536,196.811512,8,49,57,0,464
https://www.instagram.com/skatan_llc/,skatan_llc,,,,a,,1,2,30,66,96,30,0.016704,0.694878,0.263589,1854,0.066247,4,0.427118,0.46079,3246.814459,30,66,96,0,464
https://www.instagram.com/benjamin.bertram/,benjamin.bertram,,,,a,,1,7,61,67,128,61,0.033964,0.694878,0.279024,3751,0.134031,4,0.410213,0.446645,7472.420494,61,67,128,0,464
https://www.instagram.com/frautoebben/,frautoebben,,51.950967,7.625219,a,,1,1,133,65,198,133,0.074053,0.694878,0.30375,12127,0.433324,4,0.400812,0.435974,2178.826361,133,65,198,0,464
https://www.instagram.com/einzelhandelzumwohlfuellen/,einzelhandelzumwohlfuellen,,51.972929,7.629404,a,,1,0,136,263,399,136,0.075724,0.694878,0.299243,11911,0.425606,3,0.493969,0.548144,19346.746636,136,263,399,0,464
https://www.instagram.com/rueobscure/,rueobscure,,,,a,,1,1,21,105,126,21,0.011693,0.694878,0.25283,1720,0.061459,3,0.458367,0.49057,2506.501404,21,105,126,0,464
https://www.instagram.com/die_netzwerkerinnen/,die_netzwerkerinnen,,,,a,,1,1,17,13,30,17,0.009465,0.694878,0.247208,1201,0.042914,5,0.352954,0.377536,149.44276,17,13,30,0,464
https://www.instagram.com/umweltsaeule/,umweltsaeule,,,,a,,1,4,9,18,27,9,0.005011,0.694878,0.232807,505,0.018045,5,0.34863,0.373645,285.973685,9,18,27,0,464
https://www.instagram.com/benchingberlin/,benchingberlin,,,,a,,1,4,14,24,38,14,0.007795,0.694878,0.23419,692,0.024727,5,0.352139,0.379224,789.66858,14,24,38,0,464
https://www.instagram.com/_bar_levin_/,_bar_levin_,,51.952917,7.664025,a,,1,0,130,103,233,130,0.072383,0.694878,0.299657,11606,0.414707,4,0.431953,0.471709,6360.486494,130,103,233,0,464
https://www.instagram.com/exploremuenster/,exploremuenster,,,,a,,1,0,316,154,470,316,0.175947,0.694878,0.337697,24449,0.873615,3,0.449652,0.49325,27857.853027,316,154,470,0,464
https://www.instagram.com/n.ort_kollektiv/,n.ort_kollektiv,,,,a,,1,4,10,13,23,10,0.005568,0.694878,0.232807,537,0.019188,5,0.349428,0.373645,1792.801801,10,13,23,0,464
https://www.instagram.com/quellkollektiv/,quellkollektiv,,49.455403,11.031285,a,,1,4,13,1,14,13,0.007238,0.694878,0.233434,670,0.023941,7,0.208494,0.214887,0.277778,13,1,14,0,464
https://www.instagram.com/fuckupnightsmuenster/,fuckupnightsmuenster,,,,a,,1,0,17,23,40,17,0.009465,0.694878,0.263269,2092,0.074752,4,0.365556,0.39056,25.111305,17,23,40,0,464
